id,entidad,nombre_aplicativo,tecnologias_utilizadas,estado_en_pcm24_jun2026,fuente_cita,fecha_captura
11,INSTITUTO NACIONAL DE SALUD DEL NIÑO,Qhali (robot enfermera con IA),"Robot humanoide, IA, teleoperación, interacción gestual",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
12,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,IA para la elaboración de informes de inspección,"IA, machine learning, análisis geoespacial, automatización",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
13,MINISTERIO DEL AMBIENTE,Sigersol,"IA, soporte virtual inteligente, integración de datos",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
14,MINISTERIO DE LA PRODUCCIÓN,Maia MYPE Asesor IA,"Inteligencia artificial, asistente virtual, sugerencias automatizadas de gestión",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
15,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLÁSICAS,Resonador magnético con IA para diagnóstico oncológico,"Inteligencia artificial, imágenes médicas, resonancia magnética avanzada",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
16,MINISTERIO DEL INTERIOR,Monitoreo de servidores,"Python",ausente_en_catalogo_pcm_jun2026,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
17,REGISTRO NACIONAL DE IDENTIFICACIÓN Y ESTADO CIVIL,Biofacial,"Reconocimiento facial, deep learning",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
18,ORGANISMO DE SUPERVISIÓN DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,ADETOP v2,"Machine learning (random forest), imágenes satelitales (Sentinel-2, Landsat), visión por computadora, análisis geoespacial",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
19,HOSPITAL REGIONAL DE LAMBAYEQUE,Sistema de IA CadEye para endoscopía digestiva,"Inteligencia artificial, visión computacional, equipos endoscópicos asistidos (Eluxeo 7000 + CadEye)",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
20,SUPERINTENDENCIA NACIONAL DE MIGRACIONES,Proactiva,"",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
21,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,Chat,"",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
22,MINISTERIO DE DESARROLLO AGRARIO Y RIEGO,IDE,"",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
