id,entidad,nombre_aplicativo,finalidad,tecnologias_utilizadas,fuente_documento,fuente_url,fecha_captura
14,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLÁSICAS,Resonador magnético con IA para diagnóstico oncológico,"Optimiza resonancias magnéticas y mejora la precisión del diagnóstico oncológico.","Inteligencia Artificial, imágenes médicas, resonancia magnética avanzada",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
15,REGISTRO NACIONAL DE IDENTIFICACIÓN Y ESTADO CIVIL,Biofacial,"Verificación biométrica en línea para emisión de documentos.","Reconocimiento facial, Deep Learning",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
16,ORGANISMO DE SUPERVISIÓN DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,ADETOP v2,"Detecta tala selectiva de árboles en bosques amazónicos mediante imágenes satelitales, optimizando la supervisión remota y fiscalización forestal.","Machine Learning (Random Forest), imágenes satelitales (Sentinel-2, Landsat), visión por computadora, análisis geoespacial",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
17,HOSPITAL REGIONAL DE LAMBAYEQUE,Sistema de IA CadEye para endoscopía digestiva,"Diagnóstico precoz de cáncer digestivo.","Inteligencia Artificial, visión computacional, equipos endoscópicos asistidos (ELUXEO 7000 + CadEye)",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
18,SERVICIO NACIONAL DE CERTIFICACIÓN AMBIENTAL PARA LAS INVERSIONES SOSTENIBLES,Chatbot IA de BIANCA,"Orientación automatizada sobre normativa ambiental y proceso de certificación ambiental a cargo del SENACE.","SgLang, LlamaCpp, Transformers, RAG, HybridRAG, GraphRAG, GraphQL, FastAPI, RabbitMQ",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
19,SUPERINTENDENCIA NACIONAL DE MIGRACIONES,PROACTIVA,"Administración de tickets de atención.","",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
20,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,CHAT,"Búsqueda de normas legales y redacción de documentos.","",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
21,MINISTERIO DE DESARROLLO AGRARIO Y RIEGO,IDE,"Consultas en un visor geográfico.","",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
22,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,LIA,"Asistente virtual con IA para atención ciudadana 24 horas sobre normativas de circulación vial, SOAT, CAT y ubicación de centros de atención del transporte terrestre.","Gemini NLP, chatbots, modelos fundacionales y RAG, Google Vertex AI",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
23,PROINNOVATE,INNGENIUS,"Núcleo operativo (CORE) de PROINNOVATE: gestiona postulación, evaluación y monitoreo de proyectos financiados, pagos y garantías.","PHP, Gemini, n8n, Qdrant",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
24,SAN GABÁN S.A.,EVA Normas Legales,"Entidad virtual autónoma que identifica y selecciona normas legales publicadas diariamente en El Peruano de interés para San Gabán S.A. y notifica vía e-mail.","API ChatGPT, Power Automate",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
